# momo 시드 이슈 백로그 (TSV: title<TAB>milestone<TAB>labels(comma)<TAB>body)
# LEGACY: 새 9단계 spine 정본은 ../github_bootstrap.sh 의 TICKETS heredoc.
# scripts/github/bootstrap.sh 는 ALLOW_LEGACY_BOOTSTRAP=1 없이 실행되지 않는다.
# body 안의 \n 은 bootstrap.sh가 실제 개행으로 치환. 의존은 body에 "Depends on: <title-or-#>"로.
# 모든 이슈는 Codex가 goal로 받을 수 있게 Goal/Acceptance를 본문에 포함.
# === M0 Phase0 런타임 검증 ===
런타임 검증: make up→migrate→health→메시지 send(seq 발급) e2e	M0 Phase0 런타임 검증	type:infra,area:server,area:infra,status:blocked,size:m,gate:qa	## Goal\ndocker/psql 환경에서 인프라 기동→마이그레이션→헬스체크→메시지 1건 send 로 channel_seq 발급과 단일 tx(outbox INSERT 포함)를 런타임 확인.\n\n## Context\n- Spec: L4 §3.1, §8.1 (research/07-deepdive/04-self-build-l4-spec.md)\n- Schema: schema_v0.sql channel_seq / message / outbox\n- BUILD_TICKETS: T05 쓰기경로\n\n## Acceptance\n- [ ] [runtime] make up(PG18+Centrifugo v6) 기동\n- [ ] [runtime] make migrate 001→002 멱등 적용\n- [ ] [runtime] GET /health 200, POST messages가 seq monotonic 발급\n- [ ] STATUS.md 의 runtime-unverified 항목 갱신\n\n## Depends on: (없음 — 환경만 필요)\n\n## Out of scope\n- A2A/비용 회계(별 이슈)
런타임 검증: outbox→relay→Centrifugo publish 왕복	M0 Phase0 런타임 검증	type:infra,area:relay,area:infra,status:blocked,size:m	## Goal\nOutboxRelay가 SKIP LOCKED로 pending outbox를 클레임→Centrifugo publish(version=seq, idempotency_key)→done 까지 런타임 왕복.\n\n## Context\n- Spec: L4 §8.1\n- BUILD_TICKETS: T06\n\n## Acceptance\n- [ ] [runtime] 메시지 send 후 구독 클라가 실시간 수신\n- [ ] [runtime] relay 재기동 시 중복 publish 없음(idempotency)\n- [ ] STATUS.md 갱신\n\n## Depends on: 런타임 검증: make up→migrate→health→메시지 send
런타임 검증: AgentWorker↔hermes SSE 멘션→응답 1왕복	M0 Phase0 런타임 검증	type:feature,area:worker,area:adapter,status:blocked,size:m	## Goal\n@김인턴 멘션 1건이 agent_job→AgentWorker→hermes(OpenAI-compat /v1/chat/completions, stream)→message PATCH 스트리밍으로 채널에 돌아오는 1왕복 런타임 확인.\n\n## Context\n- Spec: L4 §3.5, §6.2, §6.3\n- BUILD_TICKETS: T07, T08\n\n## Acceptance\n- [ ] [runtime] 멘션→agent.partial 스트리밍 수신\n- [ ] [runtime] reserve/reconcile 비용 1행 기록\n- [ ] 6중 루프 게이트 기본값 동작(step cap 등)\n- [ ] STATUS.md 갱신\n\n## Depends on: 런타임 검증: outbox→relay→Centrifugo publish 왕복
런타임 검증: RLS 테넌트 격리 + 마이그레이션 멱등 재실행	M0 Phase0 런타임 검증	type:infra,area:schema,area:tenancy,status:blocked,size:s	## Goal\nRLS FORCE 하에서 다른 workspace_id 행이 보이지 않음을 런타임 테스트. 001/002 마이그레이션 재실행이 멱등.\n\n## Context\n- Spec: L4 §1.3, §9.1\n- Schema: schema_v0.sql RLS 정책\n\n## Acceptance\n- [ ] [runtime] 워크스페이스 2개 시드 후 교차 조회 0건\n- [ ] [runtime] migrate 재실행 에러 0\n- [ ] STATUS.md 갱신\n\n## Depends on: 런타임 검증: make up→migrate→health→메시지 send
# === M1 v0 데모 ===
macOS: SwiftPM 라이브러리 → Xcode .app 번들 (실행 가능 앱)	M1 v0 데모 (D Live Tool-Call · B 비용 호흡 · C 승인 인박스)	type:feature,area:macos,status:ready,size:l,agent:codex-ok	## Goal\nclients/macOS 를 라이브러리+smoke에서 실제 실행 가능한 .app 번들로(Info.plist/Xcode 또는 SwiftPM executable + bundle). 채널/메시지 리스트가 LiveChatBackend로 실데이터 표시.\n\n## Context\n- Spec: L4 §5.3, §9.3\n- BUILD_TICKETS: T09 + follow-up(.app 번들)\n- STATUS.md §5.4\n\n## Acceptance\n- [ ] [swift] swift build green\n- [ ] 실행 시 채널 리스트+메시지 리스트 렌더\n- [ ] Core/ChatBackend 계약 사용\n- [ ] STATUS.md 갱신\n\n## Out of scope: 공증/배포(M4)
경험 D: Live Tool-Call 카드 (스트리밍 중 취소/수정/재시도)	M1 v0 데모 (D Live Tool-Call · B 비용 호흡 · C 승인 인박스)	type:feature,area:macos,area:worker,status:ready,size:m,agent:codex-ok	## Goal\nagent.partial 스트리밍 중인 tool_call을 1급 카드로 렌더하고 실행 중 취소/수정-후-재시도 가능하게.\n\n## Context\n- 경험설계: research/07-deepdive/05-agent-native-experiences.md 경험 C+D (§3, line 164)\n- Spec: L4 §5.2, §6.1(cancelRun)\n- 신규 프리미티브 0\n\n## Acceptance\n- [ ] [swift] swift build green\n- [ ] tool_call/tool_result 1급 렌더\n- [ ] cancel/modify-retry 액션 배선(스텁 OK, 컴파일 보장)\n\n## Depends on: macOS: SwiftPM 라이브러리 → Xcode .app 번들
경험 B: 비용 호흡 링 (reserve→reconcile micro_usd 시각화)	M1 v0 데모 (D Live Tool-Call · B 비용 호흡 · C 승인 인박스)	type:feature,area:macos,status:ready,size:m,agent:codex-ok	## Goal\nCostBreathingRing이 agent_run의 reserve(예약)→실시간→reconcile(확정) micro_usd를 호흡 애니메이션으로. 한도 임박 시 그 자리 승인 결정.\n\n## Context\n- 경험설계: 05 경험 B (line 125)\n- Spec: L4 §8.5 2단계 회계\n\n## Acceptance\n- [ ] [swift] swift build green\n- [ ] reserve/reconcile 값 바인딩(데모 데이터)\n\n## Depends on: macOS: SwiftPM 라이브러리 → Xcode .app 번들
경험 C: 승인 인박스 (awaiting_approval 배치 처리)	M1 v0 데모 (D Live Tool-Call · B 비용 호흡 · C 승인 인박스)	type:feature,area:macos,area:server,status:ready,size:m,agent:codex-ok	## Goal\nawaiting_approval 상태의 approval_request를 줄세워 배치 승인/거부. 델리게이션 배지 통합.\n\n## Context\n- 경험설계: 05 경험 C (line 164)\n- Spec: L4 §5.2, §7.3\n\n## Acceptance\n- [ ] [swift] swift build green\n- [ ] approval 리스트 + 배치 액션(스텁 OK)\n\n## Depends on: macOS: SwiftPM 라이브러리 → Xcode .app 번들
# === M2 멀티팀/테넌시 ===
